Nombre de la Entidad|Municipio Entidad|Departamento Entidad
CAUCA  RESGUARDO INDÍGENA PAEZ DE CORINTO|Corinto|Cauca
HUILA  INSTITUCIÓN EDUCATIVA SAN ANTONIO DE ANACONIA  NEIVA|Neiva|Huila
GUAINÍA  INSTITUTO DEPARTAMENTAL DEL DEPORTE Y RECREACIÓN DEL GUAINÍA|Inírida|Guainía
ANTIOQUIA  ALCALDÍA MUNICIPIO DE JERICÓ|Jericó|Antioquia
ATLÁNTICO  ESE HOSPITAL LOCAL DE CAMPO DE LA CRUZ  CAMPO DE LA CRUZ|Campo de la Cruz|Atlántico
BOYACÁ  ESE HOSPITAL REGIONAL DE SOGAMOSO|Sogamoso|Boyacá
CHOCÓ  ALCALDÍA MUNICIPIO DE BAJO BAUDÓ|Bajo Baudó/Pizarro|Chocó
ANTIOQUIA  EMPRESA DE SERVICIOS PÚBLICOS SA ESP DE PUERTO TRIUNFO SA ESP|Puerto Triunfo|Antioquia
TOLIMA  ESE CENTRO DE SALUD COELLO|Coello|Tolima
MINISTERIO DE VIVIENDA CIUDAD Y TERRITORIO MINVIVIENDA|Bogotá D.C.|Bogotá D.C.
NARIÑO  PERSONERÍA MUNICIPIO DE LA UNIÓN|La Unión|Nariño
NARIÑO  ALCALDÍA MUNICIPIO DE LA TOLA|La Tola|Nariño
SUCRE  ALCALDÍA MUNICIPIO DE EL ROBLE|El Roble|Sucre
SUCRE  ESE CENTRO DE SALUD SAN  MORROA|Morroa|Sucre
CHOCÓ  ALCALDÍA MUNICIPIO DE ALTO BAUDÓ|Alto Baudo|Chocó
NARIÑO  ALCALDÍA MUNICIPIO DE FRANCISCO PIZARRO|Francisco Pizarro|Nariño
SANTANDER  ESE SAN ISIDRO  TONA|Tona|Santander
RISARALDA  INSTITUCIÓN EDUCATIVA EL PITAL  PEREIRA|Pereira|Risaralda
TOLIMA  ESE HOSPITAL CARLOS TORRENTE LLANO  SANTA ISABEL|Santa Isabel|Tolima
TOLIMA  HOSPITAL SAN JUAN DE DIOS  ANZOATEGUI|Anzoátegui|Tolima
INSTITUCION EDUCATIVA LAZARO DE GARDEA|Cartago|Valle del Cauca
CAUCA  EMPRESA OFICIAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE MERCADERES  MERCADERES|Mercaderes|Cauca
RISARALDA  IE COMUNITARIO CERRITOS  PEREIRA|Pereira|Risaralda
NARIÑO  ENTE DEPORTIVO MUNICIPAL DE YACUANQUER|Yacuanquer|Nariño
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA LA MORALIA  CALI|Cali|Valle del Cauca
BOYACÁ  INSTITUCIÓN EDUCATIVA NICOLAS CUERVO Y ROJAS  OICATÁ|Oicatá|Boyacá
HUILA  INSTITUCIÓN EDUCATIVA GALLEGO  LA PLATA|La Plata|Huila
ANTIOQUIA  INSTITUCIÓN EDUCATIVA MAESTRO PEDRO NEL GÓMEZ  MEDELLÍN|Medellín|Antioquia
ANTIOQUIA  EMPRESAS PÚBLICAS DE LA PINTADA SA ESP|La Pintada|Antioquia
ANTIOQUIA  INSTITUCIÓN EDUCATIVA LA INDEPENDENCIA  MEDELLÍN|Medellín|Antioquia
CENTRO DE MEMORIA HISTÓRICA CNMH|Bogotá D.C.|Bogotá D.C.
QUINDÍO  ALCALDÍA MUNICIPIO DE FILANDIA|Filandia|Quindío
ANTIOQUIA  ALCALDÍA MUNICIPIO DE URRAO|Urrao|Antioquia
ANTIOQUIA  ESE HOSPITAL SAN SEBASTIÁN DE URABÁ  NECOCLÍ|Necoclí|Antioquia
BOGOTÁ DC  SECRETARÍA GENERAL ALCALDÍA MAYOR|Bogotá D.C.|Bogotá D.C.
ARAUCA  INSTITUTO DE DESARROLLO DE ARAUCA  IDEAR|Arauca|Arauca
META  INSTITUTO DE TRÁNSITO Y TRANSPORTE DE ACACIAS|Acacías|Meta
ATLÁNTICO  INSTITUCIÓN EDUCATIVA DISTRITAL COMUNITARIA 7 DE ABRIL  BARRANQUILLA|Barranquilla|Atlántico
GUAVIARE  INSTITUTO DE FOMENTO Y DESARROLLO ECONÓMICO DEL GUAVIARE  IFEG|San José del Guaviare|Guaviare
CÓRDOBA  INSTITUCIÓN EDUCATIVA LA RIBERA  MONTERÍA|Montería|Córdoba
NARIÑO  CENTRO DE SALUD SEÑOR DEL MAR  FRANCISCO PIZARRO|Francisco Pizarro|Nariño
BOLÍVAR  ESE HOSPITAL JOSE RUDECINDO LOPEZ PARODI  BARRANCO DE LOBA|Barranco de Loba|Bolívar
META  CENTRO EDUCATIVO RURAL JOSE MARIA GUIOTH  CUMARAL|Cumaral|Meta
AMAZONAS  CÁMARA DE COMERCIO DEL AMAZONAS  LETICIA|Leticia|Amazonas
ANTIOQUIA  ESE HOSPITAL ATRATO MEDIO ANTIOQUEÑO  VIGÍA DEL FUERTE|Vigía del Fuerte|Antioquia
HUILA  INSTITUCIÓN EDUCATIVA AGUSTÍN CODAZZI  NEIVA|Neiva|Huila
CASANARE  INSTITUCIÓN EDUCATIVA SIGLO XXI  TAURAMENA|Tauramena|Casanare
HUILA  INSTITUCIÓN EDUCATIVA PANTANOS  TIMANÁ|Timaná|Huila
CESAR  PERSONERÍA MUNICIPIO DE CHIRIGUANA|Chiriguaná|Cesar
BOYACÁ  INSTITUCIÓN EDUCATIVA GIMNASIO GRAN COLOMBIANO  TUNJA|Tunja|Boyacá
TOLIMA  INSTITUCIÓN EDUCATIVA ALBERTO SANTOFIMIO CAICEDO|Ibagué|Tolima
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE VIVIENDA Y REFORMA URBANA DE ZARZAL  INVIZA|Zarzal|Valle del Cauca
TOLIMA  INSTITUCIÓN EDUCATIVA LUIS FELIPE PINTO|Prado|Tolima
HUILA  INSTITUCIÓN EDUCATIVA LA VEGA  CAMPOALEGRE|Campoalegre|Huila
SUCRE  CENTRO EDUCATIVO EL CIELO  CHALÁN|Chalán|Sucre
BOLIVAR  ESE HOSPITAL LOCAL MAHATES|Mahates|Bolívar
CÓRDOBA  UNIDAD ADMINISTRATIVA ESPECIAL CENTRO DE VIDA MARIA AUXILIADORA  BUENAVISTA|Buenavista|Córdoba
BOGOTÁ DC  IED EL DESTINO|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA EDUARDO SANTOS  SOACHA|Soacha|Cundinamarca
VALLE DEL CAUCA  ESE HOSPITAL RAÚL OREJUELA BUENO  PALMIRA|Palmira|Valle del Cauca
VALLE DEL CAUCA  UNIVERSIDAD DEL VALLE|Cali|Valle del Cauca
NORTE DE SANTANDER  INDENORTE|San José de Cúcuta|Norte De Santander
BOLÍVAR  ALCALDÍA MUNICIPIO DE SAN JACINTO|San Jacinto|Bolívar
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA GABO|Cartago|Valle del Cauca
CHOCÓ  ALCALDÍA MUNICIPIO DE EL CARMEN DE ATRATO|El Carmen de Atrato|Chocó
SUCRE  CENTRO EDUCATIVO EL TABLON  SAN MARCOS|San Marcos|Sucre
RISARALDA  EMPRESA DE SERVICIOS PUBLICOS DE SANTUARIO ESP SANTUARIO  SANTUARIO|Santuario|Risaralda
ANTIOQUIA  PENSIONES DE ANTIOQUIA|Medellín|Antioquia
BOYACÁ  ESE CENTRO DE SALUD LUIS PATIÑO CAMARGO  IZA|Iza|Boyacá
SANTANDER  ALCALDÍA MUNICIPIO DE OCAMONTE|Ocamonte|Santander
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE GUTIERREZ|Gutiérrez|Cundinamarca
ARAUCA  INSTITUCIÓN EDUCATIVA AGUSTIN NIETO CABALLERO  TAME|Tame|Arauca
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA NUESTRA SEÑORA DE FÁTIMA  ESPINAL|El Espinal|Tolima
VICHADA  EMPRESA SIGLO XXI EICE ESP  LA PRIMAVERA|La Primavera|Vichada
NORTE DE SANTANDER  METROVIVIENDA CÚCUTA|San José de Cúcuta|Norte De Santander
BOYACÁ  INSTITUCIÓN EDUCATIVA RANCHO GRANDE  RONDÓN|Rondón|Boyacá
BOGOTÁ DC  IED PANAMERICANO|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA ALFONSO LOPEZ PUMAREJO  JAMUNDÍ|Jamundi|Valle del Cauca
META  INSTITUCIÓN EDUCATIVA EL ENCANTO  EL CASTILLO|El Castillo|Meta
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA SANTA TERESITA DEL NIÑO DE JESUS DAGUA|Dagua|Valle del Cauca
RISARALDA  INSTITUTO AGRÍCOLA ALTO CAUCA  MARSELLA|Marsella|Risaralda
TOLIMA  HOSPITAL SAN RAFAEL DE EL ESPINAL|El Espinal|Tolima
SOCIEDAD TELEVISIÓN DEL PACÍFICO LTDA  TELEPACÍFICO|Cali|Valle del Cauca
ANTIOQUIA  ESE METROSALUD  MEDELLÍN|Medellín|Antioquia
BOLÍVAR  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN  SAN JACINTO|San Jacinto|Bolívar
BOYACÁ  INSTITUTO PARA LA RECREACIÓN Y EL DEPORTE DE TUNJA|Tunja|Boyacá
HUILA  ALCALDÍA MUNICIPIO DE TESALIA|Tesalia|Huila
SERVICIO PÚBLICO DE EMPLEO REDEMPLEO|Bogotá D.C.|Bogotá D.C.
INSTITUTO NACIONAL PARA SORDOS INSOR|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  INSTITUCIÓN EDUCATIVA SANTOS ÁNGELES CUSTODIOS  MEDELLÍN|Medellín|Antioquia
ANTIOQUIA  EMPRESAS PÚBLICAS DE AMAGÁ SA ESP  AMAGÁ|Amagá|Antioquia
CAQUETÁ  ALCALDÍA MUNICIPIO DE FLORENCIA|Florencia|Caquetá
VALLE DEL CAUCA  EMPRESA DE RECURSOS TECNOLOGICOS SA ESP  CALÍ|Cali|Valle del Cauca
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE PANDI|Pandi|Cundinamarca
HUILA  INSTITUCIÓN EDUCATIVA ANA ELISA CUENCA LARA  YAGUARÁ|Yaguará|Huila
RISARALDA  INSTITUCIÓN EDUCATIVA JORGE ELIÉCER GAITÁN  PEREIRA|Pereira|Risaralda
CUNDINAMARCA  CORPORACIÓN SOCIAL DE CUNDINAMARCA|Agua de Dios|Cundinamarca
ANTIOQUIA  INSTITUCIÓN EDUCATIVA SAN VICENTE DE PAUL  MEDELLÍN|Medellín|Antioquia
CAUCA  CONCEJO MUNICIPIO DE PUERTO TEJADA|Puerto Tejada|Cauca
CALDAS  ALCALDÍA MUNICIPIO DE SALAMINA|Salamina|Caldas
VAUPÉS  ALCALDÍA MUNICIPIO DE CARURU|Caruru|Vaupés
SANTANDER  PERSONERÍA MUNICIPIO DE BARRANCABERMEJA|Barrancabermeja|Santander
SANTANDER  ALCALDÍA MUNICIPIO DE SABANA DE TORRES|Sabana de Torres|Santander
VALLE DEL CAUCA  ESE HOSPITAL FRANCINETH SANCHEZ HURTADO  VIJES|Vijes|Valle del Cauca
TOLIMA  HOSPITAL SERAFÍN MONTAÑA CUELLAR DE SAN LUIS|San Luis|Tolima
NARIÑO  ESE CENTRO DE SALUD DE BELÉN|Belén|Nariño
ANTIOQUIA  FONDO DE VALORIZACIÓN DEL MUNICIPIO DE MEDELLÍN  FONVAL|Medellín|Antioquia
TOLIMA  ALCALDÍA MUNICIPIO DE LÉRIDA|Lérida|Tolima
PUTUMAYO  INSTITUCIÓN ETNOEDUCATIVA RURAL INDÍGENA SANTA CECILIA  PUERTO LEGUIZAMO|Puerto Guzmán|Putumayo
BOGOTÁ DC   PATRIMONIO AUTONOMO COLOMBIA PRODUCTIVA|Bogotá D.C.|Bogotá D.C.
CALDAS  INSTITUCIÓN EDUCATIVA INSTITUTO MANIZALES|Manizales|Caldas
SUCRE  INSTITUCIÓN EDUCATIVA RAFAEL NÚÑEZ  SINCELEJO|Sincelejo|Sucre
FONDO NACIONAL DE AHORRO|Bogotá D.C.|Bogotá D.C.
BOGOTÁ DC  IED REINO DE HOLANDA|Bogotá D.C.|Bogotá D.C.
VALLE DEL CAUCA  INSTITUTO DEPARTAMENTAL DE BELLAS ARTES|Cali|Valle del Cauca
RISARALDA  CUERPO OFICIAL DE BOMBEROS DOSQUEBRADAS|Dosquebradas|Risaralda
SUCRE  EMPRESA DE SERVICIOS PÚBLICOS DE GALERAS SA ESP EMPAGAL  GALERAS|Galeras|Sucre
CALDAS  INSTITUCIÓN EDUCATIVA LUIS FELIPE GUTIÉRREZ LOAIZA  SALAMINA|Salamina|Caldas
ANTIOQUIA  HOSPITAL SAN ANTONIO DE BETANIA|Betania|Antioquia
SANTANDER  INSTITUTO INTEGRADO SAN BERNARDO  FLORIDABLANCA|Floridablanca|Santander
BOGOTÁ DC  IED BRASILIA  BOSA|Bogotá D.C.|Bogotá D.C.
RISARALDA  INSTITUCIÓN EDUCATIVA SANTA ISABEL  DOSQUEBRADAS|Dosquebradas|Risaralda
NORTE DE SANTANDER  UNIDAD DE SERVICIOS PÚBLICOS  ABREGO|Abrego|Norte De Santander
ARAUCA  PERSONERÍA MUNICIPIO DE ARAUCA|Arauca|Arauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA TÉCNICO COMERCIAL JOSÉ MARÍA VIVAS BALCÁZAR  CALI|Cali|Valle del Cauca
SANTANDER  COLEGIO AVELINA MORENO DEL SOCORRO|Socorro|Santander
SUCRE  INSTITUCIÓN EDUCATIVA DE GUARANDA INSTEGUA  GUARANDA|Guaranda|Sucre
NARIÑO  ESE HOSPITAL RICAURTE|Ricaurte|Nariño
CÓRDOBA  INSTITUCIÓN EDUCATIVA MERCEDES ABREGO  MONTERÍA|Montería|Córdoba
CASANARE  ESE SALUD YOPAL|Yopal|Casanare
ATLÁNTICO  ESE HOSPITAL DEPARTAMENTAL JUAN DOMÍNGUEZ ROMERO  SOLEDAD|Soledad|Atlántico
ANTIOQUIA  ALCALDÍA MUNICIPIO DE CHIGORODÓ|Chigorodó|Antioquia
DIRECCIÓN NACIONAL DE BOMBEROS|Bogotá D.C.|Bogotá D.C.
BOYACÁ  EMPRESA DEPARTAMENTAL DE SERVICIOS PÚBLICOS DE BOYACÁ SA ESP|Tunja|Boyacá
BOYACÁ  ALCALDÍA MUNICIPIO DE SAN PABLO BORBUR|San Pablo de Borbur|Boyacá
BOGOTÁ DC  IED ARBORIZADORA ALTA|Bogotá D.C.|Bogotá D.C.
CÓRDOBA  ESE CAMU SANTA TERESITA  LORICA|Lorica|Córdoba
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE MADRID|Madrid|Cundinamarca
AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN ARN|Bogotá D.C.|Bogotá D.C.
TOLIMA  EMPRESA DE SERVICIOS PÚBLICOS RIO LUISA SA ESP  SAN LUIS|San Luis|Tolima
NARIÑO  ESE CENTRO HOSPITAL DE LAFLORIDA  LA FLORIDA|La Florida|Nariño
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA LUIS FERNANDO CAICEDO  CALI|Cali|Valle del Cauca
BOGOTÁ DC  TRANSMILENIO|Bogotá D.C.|Bogotá D.C.
NORTE DE SANTANDER  ALCALDÍA MUNICIPIO DE TEORAMA|Teorama|Norte De Santander
CUNDINAMARCA  ALCALDÍA MUNICIPIO DE QUEBRADANEGRA|Quebradanegra|Cundinamarca
CUNDINAMARCA  CÁMARA DE COMERCIO DE FACATATIVA|Facatativá|Cundinamarca
CÓRDOBA  ESE HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO|San Bernardo del Viento|Córdoba
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA GIMNASIO DEL PACIFICO  TULUÁ|Tuluá|Valle del Cauca
MAGDALENA  ESE CENTRO DE SALUD DE ZAPAYAN  ZAPAYAN|Zapayán|Magdalena
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA VILLA DEL SUR  CALI|Cali|Valle del Cauca
HUILA  INSTITUCIÓN EDUCATIVA NÚCLEO ESCOLAR EL GUADUAL  RIVERA|Rivera|Huila
SANTANDER  ADMINISTRACIÓN PÚBLICA COOPERATIVA ACUEDUCTO ASEO Y ALCANTARILLADO  LA BELLEZA|La Belleza|Santander
CALDAS  INSTITUCIÓN EDUCATIVA ESCUELA NACIONAL AUXILIARES DE ENFERMERÍA  MANIZALES|Manizales|Caldas
ANTIOQUIA  INSTITUCIÓN EDUCATIVA JAVIERA LONDOÑO  MEDELLÍN|Medellín|Antioquia
ANTIOQUIA  INSTITUCIÓN EDUCATIVA LA UNION  BELLO|Bello|Antioquia
ANTIOQUIA  PERSONERÍA MUNICIPIO DE TARSO|Tarso|Antioquia
SANTANDER  ESE HOSPITAL DE ENCISO|Enciso|Santander
TOLIMA  INSTITUCIÓN EDUCATIVA TÉCNICA FRANCISCO NUÑEZ PEDROSO  MARIQUITA|San Sebastian de Mariquita|Tolima
MAGDALENA  ASAMBLEA DEPARTAMENTAL DEL MAGDALENA|Santa Marta|Magdalena
VALLE DEL CAUCA  INSTITUCION EDUCATIVA JOSE MARIA CABAL  BUENAVENTURA|Buenaventura|Valle del Cauca
SUCRE  EMPRESA DE SERVICIOS PÚBLICOS AGUAS DE PADILLA SA ESP  EL ROBLE|El Roble|Sucre
BOYACÁ  ALCALDÍA MUNICIPIO DE SOGAMOSO|Sogamoso|Boyacá
NARIÑO  ALCALDÍA MUNICIPIO DE SAN PABLO|San Pablo|Nariño
TOLIMA  HOSPITAL SAN RAFAEL ESE  DOLORES|Dolores|Tolima
ANTIOQUIA  ALCALDÍA MUNICIPIO DE PUERTO TRIUNFO|Puerto Triunfo|Antioquia
CORPOAMAZONÍA  CORPORACIÓN PARA EL DESARROLLO SOSTENIBLE SUR DE LA AMAZONÍA|Leticia|Amazonas
PUTUMAYO  GOBERNACIÓN|San Miguel de Mocoa|Putumayo
CESAR  INSTITUCIÓN EDUCATIVA ÁLVARO ARAUJO NOGUERA  ASTREA|Astrea|Cesar
CESAR  PERSONERÍA MUNICIPIO DE AGUSTÍN CODAZZI|Agustín Codazzi|Cesar
CUNDINAMARCA  ESE HOSPITAL SALAZAR  VILLETA|Villeta|Cundinamarca
NORTE DE SANTANDER  INSTITUTO DEPARTAMENTAL DE SALUD DE NORTE DE SANTANDER|San José de Cúcuta|Norte De Santander
NORTE DE SANTANDER  UNIVERSIDAD FRANCISCO DE PAULA SANTANDER DE OCAÑA|Ocaña|Norte De Santander
CUNDINAMARCA  ASOCIACIÓN DE MUNICIPIO DE SABANA CENTRO  ASOCENTRO|Agua de Dios|Cundinamarca
CÁMARA DE REPRESENTANTES|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  INSTITUCIÓN EDUCATIVA OCTAVIO HARRY JACQUELINE KENNEDY  MEDELLÍN|Medellín|Antioquia
QUINDÍO  INSTITUCIÓN EDUCATIVA BAUDILIO MONTOYA  CALARCÁ|Purificación|Tolima
GUAVIARE  INSTITUTO DEPARTAMENTAL DEL DEPORTE Y LA RECREACIÓN|San José del Guaviare|Guaviare
LA GUAJIRA  HOSPITAL SANTA TERESA DE JESÚS DE AVILA|Riohacha|La Guajira
BOYACÁ  ALCALDÍA MUNICIPIO DE CHITARAQUE|Chitaraque|Boyacá
CUNDINAMARCA  ESE POLCLÍNICO DE JUNÍN|Junín|Cundinamarca
ANTIOQUIA  EMPRESAS PÚBLICAS DE SAN RAFAEL SA ESP|San Rafael|Antioquia
BOYACÁ  ALCALDÍA MUNICIPIO DE VILLA DE LEYVA|Villa de Leyva|Boyacá
HUILA  ALCALDÍA MUNICIPIO DE ALTAMIRA|Altamira|Huila
VALLE DEL CAUCA  ESE HOSPITAL LOCAL DEL MUNICIPIO DE YOTOCO|Yotoco|Valle del Cauca
CAUCA  INSTITUTO MUNICIPAL PARA EL DEPORTE LA RECREACIÓN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE DE SANTANDER DE QUILICHAO|Santander de Quilichao|Cauca
CAQUETÁ  CONCEJO MUNICIPAL DE FLORENCIA|Florencia|Caquetá
ANTIOQUIA  INSTITUCIÓN EDUCATIVA MARINA ORTH  MEDELLÍN|Medellín|Antioquia
SUCRE  AGUAS DE SUCRE SA ESP|Sincelejo|Sucre
BOYACÁ  ESE CENTRO DE SALUD DE MOTAVITA|Motavita|Boyacá
BOYACÁ  INSTITUCIÓN EDUCATIVA LUIS MANUEL PARRA CARO|Sativanorte|Boyacá
BOGOTÁ DC  IED VILLA ELISA|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  TERMINAL DE TRANSPORTES DE APARTADO EICE|Apartadó|Antioquia
HUILA  INSTITUCIÓN EDUCATIVA MUNICIPAL CRIOLLO  PITALITO|Pitalito|Huila
RISARALDA  EMPRESA MULTISERVICIOS SA|Pereira|Risaralda
BOLÍVAR  INSTITUCIÓN EDUCATIVA 20 DE JULIO CARTAGENA|Cartagena|Bolívar
TOLIMA  EMPRESA IBAGUEREÑA DE ACUEDUCTO Y ALCANTARILLADO IBAL SA ESP|Ibagué|Tolima
SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA   INSTITUCION EDUCATIVA TECNICO DEPARTAMENTAL NATANIA|San Andrés|San Andrés, Providencia y Santa Catalina
BOYACÁ  ESE CENTRO DE SALUD SAN BLAS  TINJACÁ|Tinjacá|Boyacá
VICHADA  HOSPITAL DEPARTAMENTAL SAN JUAN DE DIOS  PUERTO CARREÑO|Puerto Carreño|Vichada
ANTIOQUIA  ESE HOSPITAL SAN RAFAEL DE ITAGUÍ|Itagüí|Antioquia
QUINDÍO  PERSONERÍA MUNICIPIO DE ARMENIA|Armenia|Quindío
MAGDALENA  ALCALDÍA MUNICIPIO DE PEDRAZA|Pedraza|Magdalena
ANTIOQUIA  INSTITUTO MUNICIPAL DE EDUCACIÓN FÍSICA DEPORTE Y RECREACIÓN DE RIONEGRO  IMER|Rionegro|Antioquia
RISARALDA  PROMOTORA DE VIVIENDA DE RISARALDA|Pereira|Risaralda
BOYACÁ  ESE CENTRO DE SALUD SAN ANTONIO DE PADUA  GACHANTIVA|Gachantivá|Boyacá
CAQUETÁ  ALCALDÍA MUNICIPIO DE VALPARAÍSO|Valparaíso|Caquetá
CHOCÓ  ALCALDÍA MUNICIPIO DE CONDOTO|Condoto|Chocó
META  ALCALDÍA MUNICIPIO DE LA URIBE|Uribe|Meta
NARIÑO  ORGANIZACION PARA LA RECREACIÓN Y EL DEPORTE DE IPIALES  ORDEPI|Pasto|Nariño
RISARALDA  INSTITUTO FINANCIERO PARA EL DESARROLLO DE RISARALDA|Pereira|Risaralda
NARIÑO  ESE SAN PEDRO DE CUMBITARA|Cumbitara|Nariño
SUCRE  ALCALDÍA MUNICIPIO DE OVEJAS|Ovejas|Sucre
SANTANDER  ALCALDÍA MUNICIPIO DE BARICHARA|Barichara|Santander
BOYACÁ  ALCALDÍA MUNICIPIO DE SOCHA|Socha|Boyacá
ANTIOQUIA  INSTITUTO MUNICIPAL DE DEPORTES Y RECREACIÓN DE APARTADÓ  IMDER APARTADÓ|Apartadó|Antioquia
SANTANDER  CONCEJO MUNICIPIO DE GIRON|Girón|Santander
BOYACÁ  INSTITUCIÓN EDUCATIVA SAN IGNACIO DE LOYOLA  OTANCHE|Otanche|Boyacá
BOGOTÁ DC  IED REPUBLICA DEL ECUADOR|Bogotá D.C.|Bogotá D.C.
SUCRE  INSTITUCIÓN EDUCATIVA DON ALONSO  COROZAL|Corozal|Sucre
RISARALDA  INSTITUCIÓN EDUCATIVA MARÍA AUXILIADORA  SANTUARIO|Santuario|Risaralda
ANTIOQUIA  EMPRESA DE DESARROLLO URBANO Y RURAL  EDUR  TÁMESIS|Támesis|Antioquia
CUNDINAMARCA  CONCEJO MUNICIPIO DE UBATÉ|Villa de San Diego de Ubate|Cundinamarca
CÓRDOBA  INSTITUCIÓN EDUCATIVA SANTA ROSA DE LIMA  MONTERÍA|Montería|Córdoba
ANTIOQUIA  INSTITUCIÓN EDUCATIVA RODRIGO CORREA PALACIO  MEDELLÍN|Medellín|Antioquia
CALDAS  INSTITUCIÓN EDUCATIVA HOJAS ANCHAS  SUPÍA|Supía|Caldas
CESAR  INSTITUCION EDUCATIVA JOSE EUGENIO MARTINEZ  VALLEDUPAR|Valledupar|Cesar
MAGDALENA  EMPRESA DE SERVICIOS PUBLICOS DEL DISTRITO DE SANTA MARTA  ESSMAR ESP|Santa Marta|Magdalena
META  ALCALDÍA MUNICIPIO DE VILLAVICENCIO|Villavicencio|Meta
SANTANDER  ALCALDÍA MUNICIPIO DE PUERTO ILCHES|Puerto Wilches|Santander
ANTIOQUIA  ALCALDÍA MUNICIPIO DE COCORNÁ|Cocorná|Antioquia
SANTANDER  ALCALDÍA MUNICIPIO DE MOGOTES|Mogotes|Santander
SUCRE  ESE HOSPITAL SANTA CATALINA DE SENA  SUCRE|Sucre|Sucre
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA MUNICIPAL SAN JUAN BAUTISTA DE LA SALLE  ZIPAQUIRA|Zipaquirá|Cundinamarca
SANTANDER  ALCALDÍA MUNICIPIO DE BOLÍVAR|Bolívar|Santander
CALDAS  CENTRO DE SALUD DE NORCASIA|Norcasia|Caldas
META  ALCALDÍA MUNICIPIO DE CUMARAL|Cumaral|Meta
BOGOTÁ DC  IED EL VIRREY JOSE SOLIS|Bogotá D.C.|Bogotá D.C.
CUNDINAMARCA  EMPRESA MUNICIPAL DE ACUEDUCTO Y ALCANTARILLADO DE FUNZA|Funza|Cundinamarca
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE EDUCACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO DEL MUNICIPIO DE YUMBO|Yumbo|Valle del Cauca
VALLE DEL CAUCA  INSTITUCIÓN EDUCATIVA JOSÉ ANTONIO GALÁN  CALI|Cali|Valle del Cauca
DIRECCIÓN GENERAL MARÍTIMA|Bogotá D.C.|Bogotá D.C.
ANTIOQUIA  ESE HOSPITAL SAN ANTONIO  TARAZÁ|Tarazá|Antioquia
QUINDÍO  AMABLE EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO DEL ORDEN MUNICIPAL|Armenia|Quindío
ANTIOQUIA  FONDO DE VIVIENDA DE INTERÉS SOCIAL Y REFORMA URBANA FOVISRU DE PUERTO BERRÍO|Puerto Berrío|Antioquia
VALLE DEL CAUCA  ASAMBLEA DEPARTAMENTAL|Cali|Valle del Cauca
BOGOTÁ DC  IED USMINIA|Bogotá D.C.|Bogotá D.C.
BOYACÁ  INSTITUCIÓN EDUCATIVA JUAN JOSE RONDON  TASCO|Tasco|Boyacá
META  INSTITUCIÓN EDUCATIVA JOSE ANTONIO GALAN  CUMARAL|Cumaral|Meta
CUNDINAMARCA  INSTITUCIÓN EDUCATIVA DEPARTAMENTAL SANTA MARÍA  VILLA DE SAN DIEGO DE UBATE|Villa de San Diego de Ubate|Cundinamarca
CÓRDOBA  INSTITUCIÓN EDUCATIVA MANUEL RUÍZ ÁLVAREZ  MONTERÍA|Montería|Córdoba
ATLÁNTICO  INSTITUCIÓN EDUCATIVA DISTRITAL EL VALLE  BARRANQUILLA|Barranquilla|Atlántico
CALDAS  CENTRO EDUCATIVO QUIEBRALOMO  RIOSUCIO|Riosucio|Caldas
CONTRALORÍA GENERAL DE LA REPÚBLICA CGR|Bogotá D.C.|Bogotá D.C.
SANTANDER  ALCALDÍA MUNICIPIO DE GÜEPSA|Güepsa|Santander
CÓRDOBA  ESE HOSPITAL SAN ANDRÉS APÓSTOL  SAN ANDRÉS DE SOTAVENTO|San Andrés Sotavento|Córdoba
NARIÑO  ESE HOSPITAL SAN LUIS  EL TAMBO|El Tambo|Nariño
